id,race,decile_score,score_text,two_year_recid,LB,UB,LB_geo,UB_geo,flag_min,flag_max
2825,Caucasian,3,Low,1,-1.49153969103323,1.57038652427845,-1.64243924249893,1.49323470440881,1,1
4704,Caucasian,3,Low,1,-1.26756492285569,1.45644847241012,-1.2881811473928,1.50009225103895,1,1
10258,Caucasian,3,Low,1,-1.85518477326885,1.48167819843399,-1.75928353785825,1.69625691902465,1,1
2728,Asian,3,Low,0,-2.06699316786576,0.506389184870255,-2.31095607882423,0.540412519053621,1,1
1208,Caucasian,3,Low,0,-1.41176331698022,1.48991025565703,-1.47169532942707,1.47136791861772,1,1
5738,African-American,3,Low,0,-1.84447169274992,1.49281228324518,-1.75133005221812,1.67123329284461,1,1
3153,Caucasian,3,Low,0,-1.67646306601453,-0.488468809096284,-1.69377645197171,-0.651239491655318,1,1
9353,Caucasian,3,Low,1,-1.54598334417899,0.56421863851574,-1.47773751191311,0.629420520882797,1,1
909,African-American,3,Low,0,-9.61073101236541,9.66484982687474,-1.32080170257816,2.44752341724485,1,1
2193,Caucasian,3,Low,1,0.0750945230415167,2.11977186178391,0.0928525202738737,2.47960884567079,1,1
9655,Caucasian,3,Low,1,-2.00507930262014,0.119467929156359,-2.259149479037,0.139741403349591,1,1
6572,Caucasian,3,Low,0,-1.80620455750365,0.576232276335465,-1.97370823085324,0.640435686442924,1,1
764,Hispanic,3,Low,0,-1.48422628318279,1.54133065514334,-1.23154329164596,1.67427950133519,1,1
3679,Caucasian,3,Low,1,-2.30858187279828,-0.461968676448265,-2.38246021676451,-0.519743445482953,1,1
8819,Other,3,Low,0,-1.85403360182403,-0.329488705665773,-1.88894364749984,-0.396538345733321,1,1
5885,Caucasian,3,Low,1,-1.33179164994844,1.53004266086117,-1.35320683153134,1.52984191295397,1,1
8902,Other,3,Low,0,-1.6550948470777,1.39770567151328,-1.97368741270842,1.20921536823431,1,1
1631,Caucasian,3,Low,1,-1.86557965948177,0.576224124912414,-1.6977891575773,0.640409534083503,1,1
2968,African-American,3,Low,1,0.0837120137969869,1.5218581863683,0.118550685458368,1.60813888052195,1,1
7343,Caucasian,3,Low,0,-1.93569911517015,0.505676397497994,-2.02835144623866,0.539729736500961,1,1
2128,African-American,3,Low,1,-1.319405802411,1.7540748490627,-1.3692927275264,1.97782312741036,1,1
10097,African-American,3,Low,1,-1.31868609771567,1.75175383065695,-1.36857861651912,1.97601504588344,1,1
10570,Caucasian,3,Low,0,-1.85359884497178,-0.449251046870554,-1.68210279758091,-0.528954901672245,1,1
8676,African-American,3,Low,0,-1.67617000317684,-0.511662287663318,-1.69348890313088,-0.701774947533865,1,1
6215,Other,3,Low,0,-2.05121577637902,0.506223644126919,-2.3195678687505,0.540251567149246,1,1
7448,African-American,3,Low,0,-1.85242034715833,-0.407457512187424,-1.91937220300676,-0.528667532747283,1,1
4112,African-American,3,Low,0,-1.48960057680894,1.56981975525249,-1.64092032128025,1.4928508342106,1,1
4085,Caucasian,3,Low,0,-3.48409178504654,0.0232316922111003,-2.89101712966091,0.0311017975723943,1,1
6836,Caucasian,3,Low,1,-1.48632550084202,1.39965361390828,-1.68140438447818,1.21014242129483,1,1
7868,African-American,3,Low,0,-1.85258774599009,-0.466308746675064,-1.92003056551176,-0.635250316519179,1,1
6805,African-American,3,Low,1,-1.48632550084202,1.39965361390828,-1.68140438447818,1.21014242129483,1,1
8268,Caucasian,3,Low,0,0.33136417027025,1.44763365497537,0.511647302936443,1.35376840357231,1,1
10750,Caucasian,3,Low,0,-3.5697198802181,-0.517187315272294,-3.37254413084671,-0.606987341112791,1,1
3163,Caucasian,3,Low,0,-1.87399069144482,-0.662319907544433,-2.05069582550155,-0.903782606691811,1,1
2446,Caucasian,3,Low,1,-1.93569911517015,0.505676397497994,-2.02835144623866,0.539729736500961,1,1
7007,African-American,3,Low,0,0.120270488242192,1.60223107016291,0.16596081490652,1.81794886142357,1,1
8914,African-American,3,Low,1,-1.00857782950661,3.39770596516573,-1.14388267180409,2.93843152541344,1,1
3780,Caucasian,3,Low,0,-1.45444181129622,2.08294464284959,-1.53122580329838,2.29022245415516,1,1
1822,Caucasian,3,Low,1,-1.19299248722573,1.40747477604286,-1.16534191368543,1.5527714490805,1,1
5316,African-American,3,Low,1,-1.83490781933923,0.576304765488174,-2.01089948781407,0.640505623774381,1,1
5733,African-American,3,Low,0,-1.93569911517015,0.505676397497994,-2.02835144623866,0.539729736500961,1,1
1930,Caucasian,3,Low,0,-3.4846584043641,0.0235396552551779,-2.89125843340277,0.0315113581603851,1,1
5543,Caucasian,3,Low,1,-1.34182506146761,1.42526536108587,-1.40115987202821,1.46545175830733,1,1
7043,African-American,3,Low,0,-1.8058221967622,0.119798001817634,-1.97319616002127,0.140129794445102,1,1
8357,African-American,3,Low,1,-1.48632550084202,1.39965361390828,-1.68140438447818,1.21014242129483,1,1
4239,Hispanic,3,Low,0,-2.22962830690741,1.55927436226596,-2.07101315035936,1.25720234323801,1,1
10713,Hispanic,3,Low,0,-1.9369162161173,0.575727349758788,-2.1081320881948,0.640330444437328,1,1
3634,Caucasian,3,Low,0,-1.67817831856248,-0.509930759172876,-1.69430274432431,-0.699675799196773,1,1
6584,Caucasian,3,Low,0,-2.23205008709562,1.55927220545721,-2.07098687891654,1.25734849483632,1,1
1516,Hispanic,3,Low,1,0.172766754541429,1.5362156722353,0.165035538233613,1.41978016078991,1,1
1698,Caucasian,3,Low,0,-1.87843527604838,1.40008022027896,-2.18530972553223,1.21020204264181,1,1
10932,African-American,3,Low,0,0.33136417027025,1.44763365497537,0.511647302936443,1.35376840357231,1,1
257,Hispanic,3,Low,0,-1.48825373919018,1.39784097001652,-1.6826468427723,1.20941078956636,1,1
6934,African-American,3,Low,0,-1.85242950909625,-0.448697482585031,-1.91940107103362,-0.590516700697073,1,1
6046,African-American,3,Low,0,-2.5885190366339,9.47646927397214,-1.99310776775026,6.18671449082621,1,1
3988,African-American,3,Low,1,-2.12825239260329,-0.489544366988512,-2.45449398739819,-0.583418614695894,1,1
5590,Caucasian,3,Low,0,-1.97477130028874,0.576384030095132,-2.21222008187794,0.640597663771644,1,1
456,Caucasian,3,Low,0,0.33136417027025,1.44763365497537,0.511647302936443,1.35376840357231,1,1
5495,African-American,3,Low,0,-1.48466738768557,1.48849365520902,-1.23182521954655,1.67985208671807,1,1
10079,Hispanic,3,Low,1,-1.36909461486739,1.49893579104038,-1.35931768592237,1.69177865929938,1,1
4088,African-American,3,Low,0,-1.67646344649627,-0.511775243099294,-1.69383110700468,-0.703179571460458,1,1
4904,Other,3,Low,0,-2.03677299755126,-0.585476666292266,-2.09246912769693,-0.631239864310545,1,1
4674,African-American,3,Low,1,-1.65299979272976,1.40007630711095,-1.9657843340416,1.21026452208686,1,1
2809,African-American,3,Low,0,-1.48825373919018,1.39784097001652,-1.6826468427723,1.20941078956636,1,1
8812,Hispanic,3,Low,0,-1.19299248722573,1.40747477604286,-1.16534191368543,1.5527714490805,1,1
6800,African-American,3,Low,0,-1.48603215145615,1.39772117871275,-1.68116920013947,1.20944049751155,1,1
10136,African-American,3,Low,1,-1.19487343144752,1.40523629998729,-1.16698851699471,1.50006818108051,1,1
6266,African-American,3,Low,0,-1.32328884735647,1.41212790739164,-1.38570700821599,1.51158563165623,1,1
7010,African-American,3,Low,1,-1.48460763692352,1.51532519877842,-1.23184004292186,1.66921614569559,1,1
8962,Caucasian,3,Low,0,-1.85890761917592,-0.634136897453347,-1.95704108636263,-0.7913381275274,1,1
621,Hispanic,3,Low,0,-1.54844547039382,1.57034685332244,-1.75092158791407,1.49321138193498,1,1
7171,Caucasian,3,Low,0,-1.19476806103507,1.40694424321327,-1.16775729077155,1.49991614327465,1,1
2644,Caucasian,3,Low,1,-1.75212417119336,0.575805987253678,-1.96851233176065,0.640054964873474,1,1
5162,Caucasian,3,Low,0,-1.90487928321276,-0.462590119884343,-2.11540906013015,-0.550041127641522,1,1
9634,Hispanic,3,Low,0,-1.45397361189511,2.08263256878334,-1.53068610881402,2.28998287400011,1,1
6109,Caucasian,3,Low,0,-1.48603215145615,1.39772117871275,-1.68116920013947,1.20944049751155,1,1
4178,Caucasian,3,Low,0,-1.80367171120219,0.119834210821975,-1.97261009182264,0.140175614479239,1,1
3146,Hispanic,3,Low,1,-1.67819175237344,-0.510092679383075,-1.69422123763034,-0.699911760423839,1,1
8814,African-American,3,Low,0,-2.14425488601963,0.119929952179768,-2.46194310715798,0.140285275917644,1,1
4817,African-American,3,Low,1,-1.74225714191365,5.62095933677131,-1.70252664327189,4.2539410215184,1,1
9846,Caucasian,3,Low,1,-1.54760709918279,0.57639011036671,-1.47719801868203,0.640616851423601,1,1
5558,Caucasian,3,Low,0,-1.93570370831761,0.576191981365273,-2.02831988098324,0.640459604965581,1,1
7559,Caucasian,3,Low,0,0.27661214642203,1.49010269870506,0.268998261955635,1.45155032681161,1,1
5850,Caucasian,3,Low,1,-1.40244997370911,1.7540292342577,-1.49211601083313,1.97784569345415,1,1
4301,African-American,3,Low,0,-1.19299248722573,1.40747477604286,-1.16534191368543,1.5527714490805,1,1
7736,African-American,3,Low,0,-1.19487343144752,1.40523629998729,-1.16698851699471,1.50006818108051,1,1
1068,Caucasian,3,Low,1,-1.53764626123956,1.60213909634065,-1.43054567752432,1.90431114134029,1,1
4388,Caucasian,3,Low,1,-1.80620455750365,0.576232276335465,-1.97370823085324,0.640435686442924,1,1
2010,African-American,3,Low,0,-2.00507930262014,0.119467929156359,-2.259149479037,0.139741403349591,1,1
4004,African-American,3,Low,0,-1.8433339958416,0.576431019966225,-2.01625162269802,0.640666218404218,1,1
789,African-American,3,Low,0,-1.29256695101788,1.40684932600899,-1.29532170955294,1.49951992422919,1,1
5854,African-American,3,Low,0,-2.00530075896703,0.120260888743426,-2.25924427761637,0.140670661170618,1,1
2588,Hispanic,3,Low,0,-1.19299248722573,1.40747477604286,-1.16534191368543,1.5527714490805,1,1
5992,African-American,3,Low,0,-1.93344429072154,0.576032659074578,-2.02909495315543,0.640282513100253,1,1
1841,Caucasian,3,Low,0,-1.97527268631944,0.576134111694178,-2.21351163669105,0.640313144068194,1,1
9703,African-American,3,Low,1,-1.92639465871685,0.119400149107779,-2.38362500159932,0.139688186134296,1,1
9370,African-American,3,Low,1,-1.48455812859068,1.59658465866474,-1.2317836275631,1.67776163925046,1,1
6786,Hispanic,3,Low,0,-1.67644037907337,-0.509632415529084,-1.69865446684805,-0.699478122172207,1,1
8675,Caucasian,3,Low,0,0.329831579635845,1.4460321630702,0.509459925934625,1.41659627338283,1,1
9158,Other,3,Low,1,-1.92639465871685,0.119400149107779,-2.38362500159932,0.139688186134296,1,1
975,African-American,3,Low,0,-2.08160082816839,2.52651095831075,-2.147267914935,2.20169033476074,1,1
2256,Caucasian,3,Low,0,-3.48465592379851,-0.48159273801683,-2.89167806264329,-0.597190042752666,1,1
7214,African-American,3,Low,1,-0.146882437156414,1.5902635429625,-0.192660804381694,1.72345558598793,1,1
1951,African-American,3,Low,0,-1.48960057680894,1.56981975525249,-1.64092032128025,1.4928508342106,1,1
